country,population,poultry_supply_capita,poultry_import,poultry_production,GDP,stability,urban,animal_protein_ratio,poultry_protein_ratio,production_per_capita,poultry_gap,import_dependency
Democratic Republic of the Congo,87083398.0,1.37,46013930.0,10314000.0,990.545051394781,-2.26337839999999,42.1127579403217,12.364864864864865,17.21311475409836,0.1184381895616889,1.2515618104383113,38.66716806722689
Denmark,5765168.0,25.22,33811680.0,151712000.0,55271.5976002659,0.9149035,88.0161943799509,68.37925445705024,13.99620763214032,26.315278236471165,-1.0952782364711666,23.158684931506848
Dominican Republic,10666843.0,34.77,17747390.0,338636800.0,16846.2072320323,0.0918722,73.926806252977,54.290106204583566,40.643500643500644,31.746675187775804,3.0233248122241996,4.732637333333333
Egypt,103696057.0,14.99,92743940.0,1302922000.0,11124.7351098149,-1.4711477,42.4486008687179,29.299085764040058,25.037147102526003,12.564817194543858,2.425182805456142,5.968078507078507
El Salvador,6213533.0,24.16,10524510.0,136238180.0,8965.2189086345,-0.3360373,71.0856704711914,39.950124688279296,34.26966292134831,21.926041110588773,2.233958889411227,7.0163400000000005
Estonia,1317425.0,21.03,14818480.0,20400000.0,34506.6486942506,0.8425161,68.9931941915158,62.267692885301294,13.641845040699426,15.484752452701292,5.545247547298709,52.92314285714286
Eswatini,1158195.0,6.65,1331280.0,2225860.0,8584.31100767837,-0.380332699999999,23.8052004963161,34.36750085704491,15.162094763092268,1.9218352695357863,4.728164730464214,16.641000000000002
Ethiopia,109666481.0,0.62,177490.0,67382550.0,2004.74755633129,-1.5195725,20.3084850311279,7.91080104646817,4.409448818897639,0.6144315873507421,0.005568412649257892,0.261014705882353
Fiji,918759.0,36.8,2362020.0,33071000.0,12585.2777215161,0.3819841,55.7408343449609,51.36986301369863,42.46153846153845,35.99529365154518,0.8047063484548147,6.561166666666667
Finland,5508396.0,18.99,5432530.0,120800000.0,47234.8528600939,1.1388152,71.9563038312956,65.03762507235591,11.112523839796566,21.930158979129313,-2.940158979129315,4.8504732142857145
France,65284776.0,25.53,374076190.0,1161745000.0,44469.1458856805,0.229972,78.6467804026368,64.35526204385744,15.353242994342848,17.795036931734284,7.734963068265717,21.33920079863092
Gabon,2156900.0,37.11,61274680.0,3994810.0,14796.6286374171,-0.4524644,89.0009733256896,51.939655172413794,37.38807599912645,1.852107190875794,35.25789280912421,76.59335
Gambia,2342189.0,7.63,15984510.0,1272980.0,2038.95429850128,-0.196953699999999,60.471712657237,32.31270358306189,18.04435483870968,0.5435001189058611,7.086499881094139,88.80283333333333
Georgia,3792859.0,17.71,47882730.0,21800000.0,13718.9378669764,-0.1125587,57.9996827205757,42.828258801141764,22.27159122465982,5.74764313674724,11.962356863252761,71.46676119402984
Germany,83104007.0,17.96,474950630.0,1009565000.0,54110.2536648812,0.7022243,80.9842544038853,63.257993384784996,12.200435729847497,12.14821085582552,5.811789144174481,30.504215157353887
Ghana,30008354.0,6.98,147537690.0,60291000.0,5170.96094857439,0.0663948999999999,54.6991419779128,26.183314864650942,19.0447400241838,2.0091405213361586,4.970859478663842,70.5921961722488
Greece,10753533.0,15.05,53290800.0,243730000.0,28681.6815585005,0.00694,77.8895342613411,56.39981051634296,11.490005039475895,22.665109225033298,-7.615109225033297,29.938651685393257
Grenada,115438.0,44.49,6229980.0,657900.0,15041.4525712067,0.9134729,36.0173296416579,59.733885919947646,37.648347635566914,5.6991631871654045,38.7908368128346,77.87475
Guatemala,16567357.0,20.08,123620050.0,288425000.0,9560.17783462724,-0.700759599999999,53.7994723140017,36.97242543612831,34.51293759512938,17.409234315407097,2.670765684592901,34.92091807909605
Guinea,12385659.0,2.16,31501450.0,14991000.0,2687.09504827171,-0.800407099999999,35.5827331542969,22.544642857142858,8.16831683168317,1.210351423367945,0.949648576632055,116.67203703703703
Guinea-Bissau,1877072.0,3.64,4205580.0,2827150.0,2081.81287227685,-0.582037399999999,43.0155792236328,19.657815006237747,14.86854034451496,1.5061489383465312,2.133851061653469,60.07971428571428
Guyana,768479.0,40.58,81310.0,30668020.0,12243.2225968541,-0.0051392,26.412905546573,44.75261607233566,41.634506242905786,39.90742752892402,0.6725724710759806,0.26229032258064516
Haiti,10817754.0,9.1,85498320.0,8521050.0,3339.38884653446,-0.834199999999999,50.735083378449,24.11820781696854,32.80632411067194,0.7876912342432635,8.312308765756736,87.24318367346939
Honduras,9588137.0,21.24,8774570.0,192593000.0,5620.65455247733,-0.9065696,55.3877322339915,38.205980066445186,41.73913043478261,20.086592421447463,1.1534075785525353,4.301259803921568
Hungary,9785604.0,25.14,37587780.0,341107000.0,29728.0121568801,0.7324048,70.4542541503906,59.26451331296377,21.137911986742772,34.858042487719715,-9.718042487719714,14.237795454545454
Iceland,343531.0,32.6,1206520.0,9697000.0,55638.4920591794,1.2503574,93.7718982310092,74.93116559590928,12.93963254593176,28.227437989584637,4.372562010415365,10.968363636363636
India,1359657400.0,2.79,17770.0,3766940000.0,6144.71714444938,-0.572111399999999,33.1821328157539,21.78796046720575,8.65979381443299,2.770506746773121,0.019493253226879226,0.00046763157894736844
